"year","red_flood_max","black_flood_max"
1953,1455,2050
1954,1425,2103
1955,1493,2173
1956,1267,1733
1957,1363,2068
1958,1844,1899
1959,1391,1860
1960,1204,1884
1961,1436,1773
1962,1479,2068
1963,1168,1860
1964,1616,2085
1965,1868,1955
1966,1198,1979
1967,1534,2339
1968,1308,1931
1969,1555,2365
1970,1084,1828
1971,1138,1828
1972,1288,1570
1973,1075,1463
1974,1300,1986
1975,1328,2062
1976,1436,1969
1977,986,1457
1978,1231,1795
1979,1555,1945
1980,1108,1499
1981,1309,1728
1982,1211,1394
1983,1034,1289
1984,1367,1211
1985,1261,1506
1986,878,1289
1987,1039,1177
1988,1894,1506
1989,1117,1296
1990,1146,1275
1991,1194,1238
1992,1361,1201
1993,1056,1207
1994,1711,1746
1995,1090,1697
1996,1150,1376
1997,1030,1344
1998,1900,1539
1999,1439,1711
2000,1162,1573
2001,1313,1586
2002,1357,1388
2003,1797,1790
2004,1053,1419
2005,1613,1559
2006,1719,1640
2007,1401,1704
2008,1248,1688
2009,1411,1684
2010,1993,1765
2011,1215,1284
2012,2477,1757
2013,2429,1561
